id,department,lab_name,pi_name,position,official_lab,lab_homepage,mock_lecture,courses_status,needs_review
dben_ogoh,生体医工学科,運動生理学研究室,小河 繁彦,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/ogoh/,https://sites.google.com/toyo.jp/ogoh09,https://www.toyo.ac.jp/nyushi/column/video-lecture/20160524_01/,未確認（シラバス検索が自動取得不可）,yes
dben_kitamura,生体医工学科,免疫システム制御学研究室,北村 秀光,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/kitamura/,https://sites.google.com/toyo.jp/kitamura,https://www.toyo.ac.jp/nyushi/column/video-lecture/20240703_01/,未確認（シラバス検索が自動取得不可）,yes
dben_kimura_t,生体医工学科,物質医工学研究室,木村 剛,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/kimura_t/,https://sites.google.com/toyo.jp/mbme2024,https://www.toyo.ac.jp/nyushi/column/video-lecture/20251112_03/,未確認（シラバス検索が自動取得不可）,yes
dben_goda,生体医工学科,バイオエンジニアリング研究室,合田 達郎,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/goda/,https://sites.google.com/toyo.jp/godalab/home,https://www.toyo.ac.jp/nyushi/column/video-lecture/20240522_02/,未確認（シラバス検索が自動取得不可）,yes
dben_suzuki,生体医工学科,生体信号処理研究室,鈴木 裕,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/suzuki/,https://sites.google.com/toyo.jp/suzuki,https://www.toyo.ac.jp/nyushi/column/video-lecture/20240626_02/,未確認（シラバス検索が自動取得不可）,yes
dben_nishino,生体医工学科,細胞ゲノム工学研究室,西野 光一郎,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/nishino/,https://sites.google.com/toyo.jp/nishino-lab,https://www.toyo.ac.jp/nyushi/column/video-lecture/20251112_01/,未確認（シラバス検索が自動取得不可）,yes
dben_horiuchi,生体医工学科,ニューロサイエンス研究室,堀内 城司,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/horiuchi/,https://sites.google.com/toyo.jp/horiuchi,https://www.toyo.ac.jp/nyushi/column/video-lecture/2015032702/,未確認（シラバス検索が自動取得不可）,yes
dben_motohashi,生体医工学科,量子医工学研究室,本橋 健次,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/motohashi/,https://sites.google.com/toyo.jp/bme-quantum,https://www.toyo.ac.jp/nyushi/column/video-lecture/20161115_01/,未確認（シラバス検索が自動取得不可）,yes
dben_yamauchi,生体医工学科,医療福祉支援工学研究室,山内 康司,教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/yamauchi/,https://sites.google.com/view/yamlab,https://www.toyo.ac.jp/nyushi/column/video-lecture/20151027_01/,未確認（シラバス検索が自動取得不可）,yes
dben_akimoto,生体医工学科,メディカルロボティクス研究室,秋元 俊成,准教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/akimoto/,https://sites.google.com/toyo.jp/akimotolab,https://www.toyo.ac.jp/nyushi/column/video-lecture/20240605_01/,未確認（シラバス検索が自動取得不可）,yes
dben_osawa,生体医工学科,生体高分子材料研究室,大澤 重仁,准教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/osawa/,https://sites.google.com/toyo.jp/the-osawa-lab,https://www.toyo.ac.jp/nyushi/column/video-lecture/20251112_04/,未確認（シラバス検索が自動取得不可）,yes
dben_kai,生体医工学科,マイクロ材料工学研究室,甲斐 洋行,准教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/kai/,https://www.kai-lab.com/,https://www.toyo.ac.jp/nyushi/column/video-lecture/20240626_01/,未確認（シラバス検索が自動取得不可）,yes
dben_kimura_y,生体医工学科,ヘルスプロモーション研究室,木村 鷹介,准教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/kimura_y/,https://sites.google.com/toyo.jp/ykimura,https://www.toyo.ac.jp/nyushi/column/video-lecture/20251112_02/,未確認（シラバス検索が自動取得不可）,yes
dben_yamazaki,生体医工学科,生体情報学研究室,山崎 享子,准教授,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dben/laboratory/yamazaki/,,,未確認（シラバス検索が自動取得不可）,yes
